,Time,Sender,SenderID,Message
0,2023-01-08 13:40:39,星海旅人·阿尔法,1685234947,[图片]
1,2023-01-08 13:44:48,.,2273522677,[图片]
2,2023-01-08 13:45:08,.,2273522677,大概是这样罢
3,2023-01-08 13:45:20,宇宙尘埃·贝塔,3927164830,这张图片好像见过
4,2023-01-08 13:45:35,漫天繁星·伽马,7283910291,哪儿见过？
5,2023-01-08 13:46:00,宇宙尘埃·贝塔,3927164830,我也不记得了，就是感觉很熟悉
6,2023-01-08 13:46:19,.,2273522677,可能在哪个网站看到过
7,2023-01-08 13:46:35,星海旅人·阿尔法,1685234947,[图片]
8,2023-01-08 13:47:00,星辰破碎·德尔塔,1287934610,哈哈，这个好笑
9,2023-01-08 13:47:25,宇宙尘埃·贝塔,3927164830,我喜欢这个
10,2023-01-08 13:47:45,.,2273522677,这个确实有趣
11,2023-01-08 13:48:35,星辰破碎·德尔塔,1287934610,哇，这是哪里拍的？
12,2023-01-08 13:49:00,宇宙尘埃·贝塔,3927164830,看起来像是海边
13,2023-01-08 13:49:25,.,2273522677,我觉得应该是山区
14,2023-01-08 13:49:50,星海旅人·阿尔法,1685234947,哈哈，你们都猜错了，这其实是我家附近的公园
15,2023-01-08 13:50:15,漫天繁星·伽马,7283910291,哇，你家附近的公园真美
16,2023-01-08 13:50:40,宇宙尘埃·贝塔,3927164830,真的很美，我也想去看看
17,2023-01-08 13:51:05,.,2273522677,我也想去
18,2023-01-08 13:51:30,星辰破碎·德尔塔,1287934610,那我们约个时间一起去？
19,2023-01-08 13:51:55,星海旅人·阿尔法,1685234947,好啊，我们可以周末去
20,2023-01-08 13:52:20,漫天繁星·伽马,7283910291,我这周末有空
21,2023-01-08 13:52:45,宇宙尘埃·贝塔,3927164830,我也有空
22,2023-01-08 13:53:10,.,2273522677,我可能要工作，看情况
23,2023-01-08 13:53:35,星海旅人·阿尔法,1685234947,那我们先这么定吧
24,2023-01-08 13:54:00,星辰破碎·德尔塔,1287934610,好的，那我们周末见
25,2023-01-08 13:54:25,宇宙尘埃·贝塔,3927164830,期待周末的到来
